"input_names","Common_Name","Taxa","Binomial","class","order","family"
"Hypolysmata grabhami","Painted shrimp/ Cleaner shrimp","Crustacean","Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami","Painted Shrimp / Cleaner Shrimp","Invertebrate","Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami","Painted shrimp / cleaner shrimp","Invertebrate","Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami","Painted Shrimp",NA,"Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami","Painted shrimp/ Cleaner shrimp",NA,"Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami","Painted shrimp",NA,"Lysmata grabhami","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami / amboinensis","Painted shrimp",NA,"Lysmata","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami/amboinensis","Painted Shrimp / Cleaner Shrimp","Invertebrate","Lysmata","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami/amboinensis","Painted shrimp / cleaner shrimp","Invertebrate","Lysmata","Malacostraca","Decapoda","Lysmatidae"
"Hypolysmata grabhami/amboinensis","Painted shrimp",NA,"Lysmata","Malacostraca","Decapoda","Lysmatidae"
"Labranicus cyolopthalmus","Spotted sail dottyback","Fish",NA,"Actinopterygii",NA,NA
"Lactophurus quadricornis","Camel cow fish","Fish","Acanthostracion quadricornis","Actinopterygii","Tetraodontiformes","Ostraciidae"
"Lemnalla yellow","Broccoli coral",NA,NA,NA,NA,NA
"Lenalla yellow","Broccoli coral",NA,NA,NA,NA,NA
"Lennius cristatus linnaeus","Molly miller","Fish","Scartella cristata","Actinopterygii","Blenniiformes","Blenniidae"
"Linckia caeciqata","Blue starfish",NA,"Linckia laevigata","Asteroidea","Valvatida","Ophidiasteridae"
"Linckia caeviqata","Blue Starfish",NA,"Linckia laevigata","Asteroidea","Valvatida","Ophidiasteridae"
"Linckia caeviqata","Blue starfish","Invertebrate","Linckia laevigata","Asteroidea","Valvatida","Ophidiasteridae"
"Linckia sp.","Sand shifting starfish","Echinoderm","Linckia","Asteroidea","Valvatida","Ophidiasteridae"
"Linkia caeviqata","Blue starfish","Invertebrate","Linckia laevigata","Asteroidea","Valvatida","Ophidiasteridae"
"Lo Uspi","Fiji foxface","Fish","Siganus uspi","Actinopterygii","Acanthuriformes","Siganidae"
"Lobophyllum","Leather(back) Type-Long Tentacles",NA,"Lobophyllia","Hexacorallia","Scleractinia","Lobophylliidae"
"Macro doreensis","Long Tentacle Anemone","Invertebrate","Heteractis doreensis","Hexacorallia","Actiniaria","Heteractidae"
"Macro doreensis","Long Tentacle Anemone-purple","Invertebrate","Heteractis doreensis","Hexacorallia","Actiniaria","Heteractidae"
"Macrophyngodon Ornatus","Matara wrasse",NA,"Macropharyngodon ornatus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Magnolica","Magnolica","Fish",NA,"Actinopterygii",NA,NA
"Mehigymnus melapterus","Bicolor wrasse",NA,"Hemigymnus melapterus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Melanchromis maingano",NA,"Fish","Pseudotropheus cyaneorhabdos","Actinopterygii","Cichliformes","Cichlidae"
"Melano marginatus","Pink-margin fairy wrasse","Fish","Cirrhilabrus melanomarginatus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Mespilia Globolus","Tuxedo urchin",NA,"Mespilia globulus","Echinoidea","Camarodonta","Temnopleuridae"
